message_id,subject,body,category
<27885851.1075852689455.JavaMail.evans@thyme>,solar migration date change very important,the migration of unix home directory and application solar scheduled for this weekend ha been moved to the weekend of october and further information a to time and problem escalation procedure will be posted early next week bob ambrocik enterprise storage team eb f x,"Logistic Arrangements (meeting scheduling, technical support, etc)"
<6638466.1075857633079.JavaMail.evans@thyme>,re you shudda been in vega,that night i had so much brain damage i couldnt function a opposed to lafontaine steve on am cc re you shudda been in vega wa a great timesat at bo collins dinner table spoke briefly by that nite i had so much brain damage i couldnt function,Purely Personal
<17478971.1075855491298.JavaMail.evans@thyme>,protest of pgenw expansion project,ena will be filing tomorrow the attached protest of pgenws pipeline expansion project our protest is based on the fact that the project could increase fuel cost for existing shipper by or more according to the illustrative fuel rate pgenw discussed at it last customer meeting,"Company Business, Strategy, etc."
<7171552.1075844030189.JavaMail.evans@thyme>,this will make you feel cooler,texan bake a electricity usage hit record by today a cool spell wa expected to grip texas plunging temperature down to around a nice respite from the plus temperature that stilled the state and sent electricity peak load to new record last week for the third time this year the electric reliability council of texas ercot an industry coalition that administers the state power grid and serf of the state electric load reported friday that preliminary number indicated that electricity usage reached an alltime peak high for the third time in day last thursday with texan using mw of power of course that wa before the weekend when temperature were expected to climb a high a at some location in the state just in time for labor day picnic the new usage record last thursday broke the previous record set the day before on wednesday when consumer used mw of power the two broken record broke a record set just six week earlier july when texan used mw of power peak load in august wa mw of power while peak load in august wa mw of power,"Company Business, Strategy, etc."
<20574626.1075857586271.JavaMail.evans@thyme>,re,who were you trying to bet on john j pm john cc thats cheap,Personal but in professional context
<4782917.1075857671618.JavaMail.evans@thyme>,ew versus ena in west ohio gas,fyi john you said to smother you with email so you could understand what wa going on so just let me know if i am overdoing it rogers,Purely Personal
<10908116.1075845532046.JavaMail.evans@thyme>,re var,ignore shankman i think that wa a bit of joke,"Company Business, Strategy, etc."
<13422747.1075842202327.JavaMail.evans@thyme>,the enron legal edge portal is now available,the legal technology committee present the legal portal the enron legal edge a single point access to tool needed to perform your work enron legal edge httplegaledgecorpenroncom olebmp information about the enron legal edge is included in the attached file not all of the available content will appear on the site so follow the direction on the user guide to create an id and customize the portal appearance for your use and to select the content you want to see check out the site use the information from the attached handout and on the portal site to help you get around portal handoutdoc olebmp portal handoutdoc,"Company Business, Strategy, etc."
<14926222.1075849626786.JavaMail.evans@thyme>,brown bag thank you,dear jennifer thank you for hosting a brown bag lunch session yesterday your presentation wa very informative and i believe it led to greater understanding of business development within g on a personal level i wa very interested in your continental deal and would like to read a white paper or postmortem analysis of the deal after it close i also thank you for taking an active role in this morning brown bag i felt like it lent additional credibility to experience enron and answered the inevitable whats in it for me question sincerely jim wininger,Personal but in professional context
<264622.1075852722324.JavaMail.evans@thyme>,re can you petition nymex to keep the new hour,god i hope so,"Company Business, Strategy, etc."
